                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4101,                 2.8753,                 1.7535,                0.78598,                0.66667,                0.90277,                0.59576,                 1.5223,                 1.2406,                 1.3161,                      0,                      0,                      0
                      2,                 1.3197,                 2.7095,                 1.5423,                0.78306,                0.66667,                0.90367,                 0.6125,                 1.5392,                 1.2358,                 1.3212,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1227,                 3.3261,                 1.4658,                0.78459,                0.66667,                0.90386,                0.60425,                 1.5553,                 1.2414,                 1.3306,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.3563,                 2.7853,                 1.4805,                 0.8021,                0.68323,                 0.9268,                0.63944,                 1.5774,                 1.2439,                 1.3411,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.5684,                 3.2543,                  1.726,                0.78293,                0.66667,                0.89991,                0.63683,                 1.5902,                 1.2403,                 1.3486,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.7815,                 4.3152,                 2.0931,                 0.7695,                0.66667,                0.90053,                 0.6033,                 1.5996,                 1.2538,                 1.3543,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2989,                 2.2335,                 1.4992,                0.77205,                0.66667,                0.90063,                0.59469,                 1.6135,                 1.2609,                 1.3617,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.4665,                 2.9583,                 1.7031,                0.77265,                0.66667,                0.90084,                0.59323,                 1.6252,                 1.2653,                 1.3688,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1625,                 2.8806,                 1.4856,                0.75284,                0.66667,                 0.9021,                0.59381,                 1.6379,                  1.266,                 1.3735,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.3982,                  3.575,                 1.8114,                 0.7353,                0.66667,                0.90315,                0.57705,                 1.6413,                  1.286,                 1.3802,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                  1.554,                 3.1448,                 1.7049,                0.66372,                0.75786,                0.93082,                0.60498,                 1.6506,                 1.2956,                 1.3872,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.95438,                  1.905,                 1.4306,                0.66277,                0.75777,                0.93108,                0.60224,                 1.6749,                 1.3032,                 1.3981,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.1303,                 2.6463,                 1.3505,                 0.6574,                0.75481,                  0.931,                0.60222,                 1.6845,                 1.3181,                 1.4022,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.2867,                 2.7975,                 1.7085,                0.66047,                0.74661,                0.93118,                0.62168,                 1.6849,                 1.3383,                 1.4094,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.87219,                 1.5146,                  1.131,                0.66534,                0.74199,                0.93149,                0.62202,                 1.6899,                 1.3532,                 1.4113,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.2255,                 2.7702,                 1.6028,                0.59325,                0.92712,                 0.9317,                0.62234,                 1.7029,                 1.3708,                 1.4141,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.88436,                  2.212,                 1.2079,                0.61104,                0.91095,                0.93148,                0.62233,                 1.7149,                 1.3839,                  1.417,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1743,                 1.8381,                 1.2964,                0.61104,                0.91095,                0.93148,                0.62233,                 1.7149,                 1.3839,                  1.417,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.1306,                 2.0776,                 1.3024,                0.61771,                0.86984,                0.92992,                 0.6219,                  1.753,                 1.4145,                 1.4393,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.98034,                 1.7548,                 1.3134,                0.61771,                0.86984,                0.92992,                 0.6219,                  1.753,                 1.4145,                 1.4393,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.4157,                 2.6669,                 1.8476,                 0.6312,                0.76667,                0.93056,                0.62206,                  1.765,                 1.4503,                 1.4445,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.3359,                 2.5465,                 1.7009,                 0.6312,                0.76667,                0.93056,                0.62206,                  1.765,                 1.4503,                 1.4445,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.1204,                 2.1489,                 1.5381,                0.64616,                0.76667,                0.93033,                0.57643,                 1.7819,                 1.4878,                 1.4518,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                  1.289,                 2.4415,                  1.663,                0.64616,                0.76667,                0.93033,                0.57643,                 1.7819,                 1.4878,                 1.4518,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.95499,                 1.7303,                  1.324,                0.64257,                0.76667,                0.80858,                0.55992,                 1.7936,                 1.5266,                 1.4573,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.0197,                 1.8616,                 1.4367,                0.64257,                0.76667,                0.80858,                0.55992,                 1.7936,                 1.5266,                 1.4573,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.0665,                 2.0282,                 1.5883,                0.68238,                    0.6,                0.80878,                0.55997,                 1.8055,                  1.531,                 1.4673,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.95458,                 1.4889,                 1.2928,                0.68238,                    0.6,                0.80878,                0.55997,                 1.8055,                  1.531,                 1.4673,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 1.0519,                 1.6771,                 1.3244,                0.67663,                    0.6,                0.80947,                0.56035,                 1.8217,                 1.5537,                 1.4748,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.3388,                 2.4341,                 1.6269,                0.67663,                    0.6,                0.80947,                0.56035,                 1.8217,                 1.5537,                 1.4748,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 1.1571,                 1.6485,                  1.415,                0.90681,                0.41073,                0.80928,                0.55357,                 1.8343,                 1.5663,                 1.4884,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.99755,                  1.484,                 1.3932,                0.90681,                0.41073,                0.80928,                0.55357,                 1.8343,                 1.5663,                 1.4884,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.89826,                 1.3596,                 1.4485,                0.90357,                0.41016,                 0.8098,                0.54516,                 1.8433,                 1.5883,                 1.4958,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0166,                 1.3275,                 1.3018,                0.90357,                0.41016,                 0.8098,                0.54516,                 1.8433,                 1.5883,                 1.4958,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.0211,                  2.714,                 1.4142,                0.90416,                0.40944,                0.81065,                0.54348,                 1.8533,                 1.6065,                    1.5,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.96415,                 1.7633,                 1.2524,                0.90416,                0.40944,                0.81065,                0.54348,                 1.8533,                 1.6065,                    1.5,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.99478,                 1.4599,                 1.3655,                0.90013,                0.40965,                0.81147,                0.54368,                 1.8531,                 1.6219,                 1.5015,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.66963,                0.79688,                 1.0737,                0.90013,                0.40965,                0.81147,                0.54368,                 1.8531,                 1.6219,                 1.5015,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.63342,                 1.1787,                 1.0774,                0.89658,                 0.4097,                0.81174,                0.50244,                 1.8597,                 1.6769,                 1.5056,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.96956,                 0.9591,                 1.2559,                0.89658,                 0.4097,                0.81174,                0.50244,                 1.8597,                 1.6769,                 1.5056,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.67812,                 0.8543,                 1.0353,                0.89371,                0.41014,                0.73008,                0.41725,                 1.8614,                 1.7127,                 1.5145,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.94168,                 1.7219,                 1.3586,                0.89371,                0.41014,                0.73008,                0.41725,                 1.8614,                 1.7127,                 1.5145,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.94382,                 1.4189,                 1.2898,                0.89103,                0.41047,                0.63836,                0.39802,                 1.8579,                 1.7506,                 1.5226,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.1574,                 1.1793,                 1.4983,                0.89103,                0.41047,                0.63836,                0.39802,                 1.8579,                 1.7506,                 1.5226,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.70075,                 1.0536,                 1.0884,                0.88832,                0.41102,                0.63295,                0.40485,                 1.8672,                 1.7598,                 1.5333,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.83082,                 1.1303,                 1.3168,                0.88832,                0.41102,                0.63295,                0.40485,                 1.8672,                 1.7598,                 1.5333,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.87901,                 1.9747,                 1.3008,                0.88551,                0.41291,                 0.6402,                0.42342,                 1.8703,                 1.7617,                 1.5384,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.91148,                 1.6837,                 1.2871,                0.88551,                0.41291,                 0.6402,                0.42342,                 1.8703,                 1.7617,                 1.5384,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.76435,                  1.015,                 1.2959,                0.88273,                0.41522,                0.69568,                0.43765,                 1.8733,                  1.766,                 1.5437,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.88534,                0.99536,                 1.3144,                0.88273,                0.41522,                0.69568,                0.43765,                 1.8733,                  1.766,                 1.5437,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.90547,                 1.0068,                 1.2061,                0.88109,                0.41628,                0.69498,                0.43762,                 1.8562,                 1.7458,                 1.5355,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.0909,                 1.0428,                 1.4386,                0.88109,                0.41628,                0.69498,                0.43762,                 1.8562,                 1.7458,                 1.5355,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.61571,                0.82699,                 1.1765,                0.88109,                0.41628,                0.69498,                0.43762,                 1.8562,                 1.7458,                 1.5355,             3.0024e-05,             3.0024e-05,             3.0024e-05
