                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.591,                 3.0637,                 1.6655,                0.40916,                0.36336,                0.29462,                0.16541,                 1.6191,                 2.1489,                 1.6893,             0.00015162,             0.00015162,             0.00015162
                      2,                 1.4921,                 1.9207,                 1.5641,                0.51598,                0.42709,                0.41576,                0.23541,                 1.5786,                 1.8048,                 1.6602,             0.00027326,             0.00027326,             0.00027326
                      3,                 1.4602,                 1.6257,                 1.5364,                0.66132,                0.39857,                0.48299,                0.26902,                 1.5633,                 1.5381,                 1.6255,             0.00036487,             0.00036487,             0.00036487
                      4,                 1.4184,                 1.4643,                 1.4995,                0.49306,                0.50964,                0.48842,                0.27673,                 1.5046,                  1.537,                 1.6094,             0.00031986,             0.00031986,             0.00031986
                      5,                 1.3689,                  1.321,                 1.4644,                0.57759,                0.53472,                0.58136,                0.32351,                 1.4861,                 1.4283,                 1.5848,             0.00027482,             0.00027482,             0.00027482
                      6,                 1.3244,                 1.2159,                 1.4313,                0.73243,                0.47706,                0.57655,                0.33552,                 1.4718,                 1.2958,                 1.5552,             0.00022978,             0.00022978,             0.00022978
                      7,                 1.2902,                 1.1349,                 1.4023,                  0.608,                0.59624,                0.63258,                0.36735,                   1.45,                 1.2519,                 1.5397,             0.00018473,             0.00018473,             0.00018473
                      8,                 1.2498,                 1.0597,                 1.3715,                0.68443,                0.56625,                 0.6427,                0.36204,                 1.4517,                 1.2145,                 1.5399,             0.00013969,             0.00013969,             0.00013969
                      9,                 1.2132,                0.99673,                  1.347,                0.59431,                0.61622,                0.62882,                0.37791,                 1.4259,                 1.1867,                 1.5138,              9.464e-05,              9.464e-05,              9.464e-05
                     10,                 1.1836,                 0.9448,                 1.3234,                0.66432,                0.59836,                0.65406,                0.38998,                 1.4188,                 1.1408,                 1.5086,             4.9595e-05,             4.9595e-05,             4.9595e-05
